Ensemble am_l r0_a_bare r0_a_bare_err r0_a_smeared r0_a_smeared_err a2sigma_bare a2sigma_bare_err a2sigma_smeared a2sigma_smeared_err M_pi
beta_5.80_M_i 0.00235 3.09640 0.01286 3.02320 0.09242 0.13035 0.00118 0.13128 0.00383 131
beta_6.00_M_ii 0.00507 3.83872 0.01950 3.77465 0.08278 0.08468 0.00025 0.08685 0.00143 217
beta_6.00_M_i 0.00184 3.85113 0.01557 3.81394 0.04370 0.08343 0.00011 0.08591 0.00151 132
beta_6.30_M_iii 0.0074 5.15895 0.03287 5.18334 0.05663 0.04663 0.00041 0.04708 0.00012 316
beta_6.30_M_ii 0.00363 5.22042 0.03414 5.26352 0.08370 0.04577 0.00023 0.04584 0.00013 221
beta_6.30_M_i 0.0012 5.26708 0.02218 5.27320 0.10936 0.04565 0.00020 0.04623 0.00038 129
beta_6.72_M_iii 0.0048 7.88980 0.08546 7.85715 0.14605 0.02014 0.00126 0.02067 0.00028 329
beta_6.72_M_ii 0.0024 7.92209 0.05545 7.93435 0.13460 0.02027 0.00070 0.02020 0.00021 234
beta_6.72_M_i 0.0008 8.03302 0.07694 8.00053 0.16195 0.01940 0.00094 0.01970 0.00022 135
beta_7.00_M_iii 0.00316 10.55417 0.38163 10.58371 0.10773 0.01106 0.00226 0.01105 0.00040 315
beta_7.00_M_i 0.000569 10.72634 0.15351 10.81068 0.11230 0.01093 0.00066 0.01066 0.00027 134
beta_7.28_M_iii 0.00223 13.58998 0.28745 13.93468 0.27129 0.00700 0.00067 0.00647 0.00023 309
