Ensemble          am_l      r0_a_bare  r0_a_bare_err  r0_a_smeared  r0_a_smeared_err  a2sigma_bare  a2sigma_bare_err  a2sigma_smeared  a2sigma_smeared_err  M_pi
beta_5.80_M_i     0.00235   3.09640    0.01286        3.02320       0.09242           0.11952       0.00206           0.11153          0.00949              131
beta_6.00_M_ii    0.00507   3.83872    0.01950        3.77465       0.08278           0.07564       0.00258           0.07769          0.00499              217
beta_6.00_M_i     0.00184   3.85113    0.01557        3.81394       0.04370           0.07428       0.00266           0.07595          0.00379              132
beta_6.30_M_iii   0.0074    5.15895    0.03287        5.18334       0.05663           0.04258       0.00061           0.04251          0.00052              316
beta_6.30_M_ii    0.00363   5.22042    0.03414        5.26352       0.08370           0.04163       0.00065           0.04257          0.00115              221
beta_6.30_M_i     0.0012    5.26708    0.02218        5.27320       0.10936           0.04128       0.00039           0.04131          0.00059              129
beta_6.72_M_iii   0.0048    7.88980    0.08546        7.85715       0.14605           0.01866       0.00190           0.01912          0.00025              329
beta_6.72_M_ii    0.0024    7.92209    0.05545        7.93435       0.13460           0.01880       0.00074           0.01865          0.00026              234
beta_6.72_M_i     0.0008    8.03302    0.07694        8.00053       0.16195           0.01790       0.00071           0.01810          0.00025              135
beta_7.00_M_iii   0.00316   10.55417   0.38163        10.58371      0.10773           0.01041       0.00186           0.01035          0.00025              315
beta_7.00_M_i     0.000569  10.72634   0.15351        10.81068      0.11230           0.01024       0.00070           0.00992          0.00022              134
beta_7.28_M_iii   0.00223   13.58998   0.28745        13.93468      0.27129           0.00668       0.00066           0.00613          0.00028              309
