% ordering (state, distance squared) of the elements of the covariance matrix
( 1 , 16 )
( 1 , 25 )
( 1 , 36 )
( 1 , 49 )
( 1 , 64 )
( 1 , 81 )
( 1 , 100 )
( 1 , 121 )
( 1 , 144 )
( 1 , 169 )
( 1 , 196 )
( 1 , 225 )
( 1 , 256 )
( 1 , 289 )
( 1 , 324 )
( 1 , 333 )
( 1 , 337 )
( 1 , 340 )
( 1 , 344 )
( 1 , 353 )
( 1 , 356 )
( 1 , 361 )
( 1 , 365 )
( 1 , 371 )
( 1 , 376 )
( 1 , 381 )
( 1 , 386 )
( 1 , 387 )
( 1 , 390 )
( 1 , 395 )
( 1 , 400 )
( 1 , 405 )
( 1 , 410 )
( 1 , 414 )
( 1 , 419 )
( 1 , 425 )
( 1 , 430 )
( 1 , 435 )
( 1 , 441 )
( 1 , 449 )
( 1 , 484 )
( 1 , 529 )
( 1 , 576 )
( 1 , 625 )
( 1 , 676 )
( 1 , 729 )
( 2 , 225 )
( 2 , 256 )
( 2 , 289 )
( 2 , 324 )
( 2 , 333 )
( 2 , 337 )
( 2 , 340 )
( 2 , 344 )
( 2 , 353 )
( 2 , 356 )
( 2 , 361 )
( 2 , 365 )
( 2 , 371 )
( 2 , 376 )
( 2 , 381 )
( 2 , 386 )
( 2 , 387 )
( 2 , 390 )
( 2 , 395 )
( 2 , 400 )
( 2 , 405 )
( 2 , 410 )
( 2 , 414 )
( 2 , 419 )
( 2 , 425 )
( 2 , 430 )
( 2 , 435 )
( 2 , 441 )
( 2 , 449 )
( 2 , 484 )
( 2 , 529 )
( 2 , 576 )
( 2 , 625 )
( 2 , 676 )
( 2 , 729 )
( 3 , 225 )
( 3 , 256 )
( 3 , 289 )
( 3 , 324 )
( 3 , 333 )
( 3 , 337 )
( 3 , 340 )
( 3 , 344 )
( 3 , 353 )
( 3 , 356 )
( 3 , 361 )
( 3 , 365 )
( 3 , 371 )
( 3 , 376 )
( 3 , 381 )
( 3 , 386 )
( 3 , 387 )
( 3 , 390 )
( 3 , 395 )
( 3 , 400 )
( 3 , 405 )
( 3 , 410 )
( 3 , 414 )
( 3 , 419 )
( 3 , 425 )
( 3 , 430 )
( 3 , 435 )
( 3 , 441 )
( 3 , 449 )
( 3 , 484 )
( 3 , 529 )
( 3 , 576 )
( 3 , 625 )
( 3 , 676 )
( 3 , 729 )
