% ordering (state, distance squared) of the elements of the covariance matrix
( 1 , 16 )
( 1 , 18 )
( 1 , 21 )
( 1 , 25 )
( 1 , 36 )
( 1 , 49 )
( 1 , 64 )
( 1 , 81 )
( 1 , 100 )
( 1 , 121 )
( 1 , 144 )
( 1 , 169 )
( 1 , 196 )
( 1 , 225 )
( 1 , 256 )
( 1 , 289 )
( 1 , 297 )
( 1 , 306 )
( 1 , 317 )
( 1 , 324 )
( 1 , 324 )
( 1 , 332 )
( 1 , 338 )
( 1 , 342 )
( 1 , 346 )
( 1 , 350 )
( 1 , 356 )
( 1 , 361 )
( 1 , 365 )
( 1 , 369 )
( 1 , 374 )
( 1 , 377 )
( 1 , 381 )
( 1 , 386 )
( 1 , 392 )
( 1 , 394 )
( 1 , 398 )
( 1 , 400 )
( 1 , 404 )
( 1 , 409 )
( 1 , 413 )
( 1 , 419 )
( 1 , 421 )
( 1 , 425 )
( 1 , 432 )
( 1 , 434 )
( 1 , 441 )
( 1 , 446 )
( 1 , 450 )
( 1 , 456 )
( 1 , 458 )
( 1 , 467 )
( 1 , 475 )
( 1 , 484 )
( 1 , 529 )
( 1 , 576 )
( 2 , 121 )
( 2 , 144 )
( 2 , 169 )
( 2 , 196 )
( 2 , 225 )
( 2 , 256 )
( 2 , 289 )
( 2 , 297 )
( 2 , 306 )
( 2 , 317 )
( 2 , 324 )
( 2 , 324 )
( 2 , 332 )
( 2 , 338 )
( 2 , 342 )
( 2 , 346 )
( 2 , 350 )
( 2 , 356 )
( 2 , 361 )
( 2 , 365 )
( 2 , 369 )
( 2 , 374 )
( 2 , 377 )
( 2 , 381 )
( 2 , 386 )
( 2 , 392 )
( 2 , 394 )
( 2 , 398 )
( 2 , 400 )
( 2 , 404 )
( 2 , 409 )
( 2 , 413 )
( 2 , 419 )
( 2 , 421 )
( 2 , 425 )
( 2 , 432 )
( 2 , 434 )
( 2 , 441 )
( 2 , 446 )
( 2 , 450 )
( 2 , 456 )
( 2 , 458 )
( 2 , 467 )
( 2 , 475 )
( 2 , 484 )
( 2 , 529 )
( 2 , 576 )
( 3 , 121 )
( 3 , 144 )
( 3 , 169 )
( 3 , 196 )
( 3 , 225 )
( 3 , 256 )
( 3 , 289 )
( 3 , 297 )
( 3 , 306 )
( 3 , 317 )
( 3 , 324 )
( 3 , 324 )
( 3 , 332 )
( 3 , 338 )
( 3 , 342 )
( 3 , 346 )
( 3 , 350 )
( 3 , 356 )
( 3 , 361 )
( 3 , 365 )
( 3 , 369 )
( 3 , 374 )
( 3 , 377 )
( 3 , 381 )
( 3 , 386 )
( 3 , 392 )
( 3 , 394 )
( 3 , 398 )
( 3 , 400 )
( 3 , 404 )
( 3 , 409 )
( 3 , 413 )
( 3 , 419 )
( 3 , 421 )
( 3 , 425 )
( 3 , 432 )
( 3 , 434 )
( 3 , 441 )
( 3 , 446 )
( 3 , 450 )
( 3 , 456 )
( 3 , 458 )
( 3 , 467 )
( 3 , 475 )
( 3 , 484 )
( 3 , 529 )
( 3 , 576 )
