Ensemble,Data_Type,Branch,sigma_0_central,sigma_0_stat_err,sigma_0_sys_err_lamb,sigma_0_total_err,chi_sq,red_chi_sq,p_value,sigma_0_up,sigma_0_down,lamb_prime_central,lamb_prime_up,lamb_prime_down
M_i,bare,negative,227738.13191845,4649.34985517599,319.32374879857525,4660.302751149519,0.29319447888119127,0.07329861972029782,0.990249244364466,228057.45566724858,227418.8086942514,-669.6,-642.6,-696.6
M_i,bare,positive,243576.99765199958,4649.349821191646,319.3359252217342,4660.303551588889,0.1431955529735488,0.0357988882433872,0.9975559986986108,243896.33355333525,243257.66172677785,669.6,696.6,642.6
M_i,smeared,negative,227998.6347902866,6815.77763477838,307.8983178756898,6822.728643357865,0.41349376646739217,0.10337344161684804,0.9813572951812017,228306.5331081623,227690.73679309472,-669.6,-642.6,-696.6
M_i,smeared,positive,243270.69382681424,6815.777646734146,307.90806596010225,6822.729095223124,0.3376448116445723,0.08441120291114307,0.9872562435868206,243578.60189277434,242962.7858680371,669.6,696.6,642.6
M_ii,bare,negative,213614.94033565244,5915.460949779757,898.9945325236185,5983.382773805851,0.11177312381927677,0.05588656190963839,0.9456464021282575,214513.93486817606,212715.9488878098,-669.6,-642.6,-696.6
M_ii,bare,positive,258208.10474929935,5915.460903172062,899.1105075361265,5983.400153902387,0.09164393360002482,0.04582196680001241,0.9552120065036833,259107.21525683548,257308.99604426816,669.6,696.6,642.6
M_ii,smeared,negative,215458.3579005338,8908.6162279318,894.8394305457768,8953.445186241399,0.09988915332102112,0.04994457666051056,0.9512821462730353,216353.19733107957,214563.5186930249,-669.6,-642.6,-696.6
M_ii,smeared,positive,259842.6511533918,8908.616216131639,894.8497404548107,8953.446204915494,0.09524732844260941,0.04762366422130471,0.9534925529274438,260737.50089384662,258947.80159455672,669.6,696.6,642.6
M_iii,bare,negative,191499.11553522415,8242.646530539989,1750.41596372606,8426.457017839108,0.38436089137827184,0.1281202971260906,0.9434538800059521,193249.5314989502,189748.76207849663,-669.6,-642.6,-696.6
M_iii,bare,positive,278358.14810900745,8242.646533239133,1751.2531644745613,8426.63097079736,0.030104542381753297,0.010034847460584433,0.9986232726005246,280109.37268866773,276606.8949445329,669.6,696.6,642.6
M_iii,smeared,negative,195492.9638096507,7271.217654320837,1674.9077335458423,7461.629988976852,0.11257307855397099,0.03752435951799033,0.9902870553594215,197167.87154319655,193818.10344939513,-669.6,-642.6,-696.6
M_iii,smeared,positive,278575.6841440138,7271.217673914246,1674.249850177206,7461.482360916046,0.567873434379571,0.18929114479319034,0.9037459866105012,280249.86019715545,276901.4342938366,669.6,696.6,642.6
