Ensemble,Data_Type,Branch,sigma_0_central,sigma_0_stat_err,sigma_0_sys_err_lamb,sigma_0_total_err,chi_sq,red_chi_sq,p_value,sigma_0_up,sigma_0_down,lamb_prime_central,lamb_prime_up,lamb_prime_down
M_i,bare,negative,206830.74539031828,4697.042367088789,316.3969922797696,4707.68669889477,0.77395429951191,0.1934885748779775,0.9419053537873003,207147.14238259805,206514.34849683515,-669.6,-642.6,-696.6
M_i,bare,positive,222524.03268053514,4697.042368388208,316.39479054676485,4707.68655221639,0.6003418073518232,0.1500854518379558,0.9630256967468982,222840.42731041208,222207.63788998837,669.6,696.6,642.6
M_i,smeared,negative,206152.823286185,6727.750898825897,304.09067918991786,6734.619758963594,1.3832202408900116,0.3458050602225029,0.8471061130876676,206456.91358457814,205848.7326069951,-669.6,-642.6,-696.6
M_i,smeared,positive,221235.40240564896,6727.7509320501695,304.07887624492287,6734.619259221735,1.1403527739231065,0.28508819348077663,0.8878180767272505,221539.48128189388,220931.32357248725,669.6,696.6,642.6
M_ii,bare,negative,192183.7529263398,6209.425367320247,896.7772868394677,6273.848332125294,0.5910456126332959,0.29552280631664796,0.7441424433813946,193080.53021317927,191286.9777421619,-669.6,-642.6,-696.6
M_ii,bare,positive,236666.72739066675,6209.42531156439,896.9025513041706,6273.866183338026,0.5124353741174792,0.2562176870587396,0.7739734664450707,237563.62994197092,235769.82791007895,669.6,696.6,642.6
M_ii,smeared,negative,196754.9023716372,9059.025322692945,894.6643894675362,9103.09640545311,0.3451284449303402,0.1725642224651701,0.8415042435993584,197649.56243612006,195860.23798216967,-669.6,-642.6,-696.6
M_ii,smeared,positive,241124.83647850965,9059.025326889763,894.4520993710612,9103.075547928815,0.3381428731571421,0.16907143657857104,0.8444485767141948,242019.28445066494,240230.3843791386,669.6,696.6,642.6
M_iii,bare,negative,172378.44192470168,8176.431722322115,1747.7073236232973,8361.131298983524,0.9317875506461396,0.3105958502153799,0.8177507475792131,174126.14924832497,170630.83551900595,-669.6,-642.6,-696.6
M_iii,bare,positive,259140.52304555595,8176.431686007928,1749.8759148163663,8361.584827842678,0.1334730915264028,0.04449103050880093,0.9875380545796603,260890.38611070978,257390.64713073958,669.6,696.6,642.6
M_iii,smeared,negative,177219.613332785,6637.562227015031,1673.6839511970757,6845.323241892335,0.7589763593310538,0.2529921197770179,0.8592520342796356,178893.29728398207,175546.00768363825,-669.6,-642.6,-696.6
M_iii,smeared,positive,260275.90074459277,6637.562218859731,1674.333958231873,6845.482189949991,0.22448940664447498,0.07482980221482499,0.9735422784755744,261950.18231819503,258601.5667863609,669.6,696.6,642.6
