Ensemble,Data_Type,Branch,y_0_central,y_0_stat_err,y_0_sys_err_lamb,y_0_total_err,chi_sq,red_chi_sq,p_value,y_0_up,y_0_down,L_prime_central,L_prime_up,L_prime_down
M_i,bare,negative,1.102144823981822,0.011202541411954365,0.001747725534641642,0.011338054446464388,1.5365152386531091,0.3841288096632773,0.8201541624246149,1.1038925478072708,1.1003970984471803,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_i,bare,positive,1.183987898717993,0.011202541364122402,0.0017476888271972246,0.011338048740924665,1.1857186186500277,0.2964296546625069,0.880444310739412,1.1857355872837856,1.1822402098907958,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_i,smeared,negative,1.1037656622212488,0.022555111353939585,0.0016871712718840026,0.02261812536638006,2.286955397322575,0.5717388493306438,0.6831450324026438,1.105452830527761,1.1020784909493648,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_i,smeared,positive,1.182771182540726,0.02255511156199546,0.0016870506171213773,0.02261811657408262,1.8552735057956333,0.46381837644890833,0.7623557409217364,1.1844582308023244,1.1810841319236047,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_ii,bare,negative,1.01889082482597,0.018514005100352525,0.005026762829373865,0.01918428339549471,1.1650437530837754,0.5825218765418877,0.5584881509511556,1.023917586370925,1.0138640619965962,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_ii,bare,positive,1.254290981333332,0.018514005130494525,0.005026916389454739,0.019184323661743885,1.0161475078493063,0.5080737539246531,0.6016533958264567,1.2593178977227868,1.2492640722951538,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_ii,smeared,negative,1.050009292873889,0.030357696476606355,0.005029489979410551,0.030771504753891205,0.5820180026465478,0.2910090013232739,0.7475089494181042,1.0550387589655783,1.0449798028944786,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_ii,smeared,positive,1.2855092127700964,0.03035769651109473,0.005028415501894923,0.03077132918675159,0.5703698466531034,0.2851849233265517,0.7518752021992462,1.2905376066191205,1.2804807972682015,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_iii,bare,negative,0.9028118700672118,0.021066704194795612,0.009995263217007722,0.02331761806892562,1.3270953725821988,0.44236512419406626,0.7227092882926726,0.9128071332842195,0.8928167160104182,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_iii,bare,positive,1.3709532948179761,0.02106670424159211,0.009997502551811532,0.02331857810579781,0.19118355767755701,0.06372785255918567,0.9789998659414566,1.3809507854774015,1.3609557922661646,1.5429573765473787,1.6088548836376457,1.4770598694571118
M_iii,smeared,negative,0.9333158612343423,0.01957668513655941,0.009563987811414543,0.02178798898000621,2.1560984606270877,0.7186994868756958,0.5406472875484514,0.9428798490457568,0.9237523370409574,-1.5429573765473787,-1.4770598694571118,-1.6088548836376457
M_iii,smeared,positive,1.3813857095210862,0.01957668507717674,0.009566356629055361,0.02178902883942343,0.6510366291684863,0.21701220972282875,0.8846555961392476,1.3909517041839876,1.3718193528920308,1.5429573765473787,1.6088548836376457,1.4770598694571118
